1671439567,1671439555,120000.0,04:26 04-01-2023,OK
1671439568,1671439555,73000.0,05:26 04-01-2023,OK
1673322740,16733227,85000.0,10:52 10-01-2023,OK
1673341471,16733414,109000.0,04:04 10-01-2023,OK
1673341806,16733418,50000.0,04:10 10-01-2023,CANCELED
1673421138,16734211,50000.0,02:12 11-01-2023,CANCELED
1673421318,16734213,55000.0,02:15 11-01-2023,OK
1673426146,16734261,36000.0,03:35 11-01-2023,OK
1673426469,1673426469,72000.0,03:41 11-01-2023,OK
1673426564,1673426564,72000.0,03:42 11-01-2023,OK
1673426670,1673426670,88000.0,03:44 11-01-2023,OK
1673426870,1673426870,60000.0,03:47 11-01-2023,CANCELED
1673428338,1673428338,0.0,04:12 11-01-2023,CANCELED
1673428856,1673428856,43000.0,04:20 11-01-2023,OK
1673429171,1673429171,42000.0,04:26 11-01-2023,OK
1673429212,1673429212,168000.0,04:26 11-01-2023,OK
1673534533,1671439999,80000.0,09:42 12-01-2023,OK
1673534556,1671439999,135000.0,09:42 12-01-2023,OK
1673534615,1671439999,60000.0,09:43 12-01-2023,CANCELED
1673534707,1671439554,110000.0,09:45 12-01-2023,OK
